"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","148","User should not be able to create project without authentication","Surefire suite","2026-08-17","passed","2026-08-17","com.example.teamcity.api.ProjectTest","Surefire test","com.example.teamcity.api.ProjectTest","userCreatesProjectWithoutAuthenticationTest"
"","335","User should be able to create project","Surefire suite","2026-08-17","passed","2026-08-17","com.example.teamcity.api.ProjectTest","Surefire test","com.example.teamcity.api.ProjectTest","userCreatesProjectTest"
"","3589","User should be able to create build type","Surefire suite","2026-08-17","passed","2026-08-17","com.example.teamcity.api.BuildTypeTest","Surefire test","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest"
"","214","User should not be able to create project with invalid name","Surefire suite","2026-08-17","passed","2026-08-17","com.example.teamcity.api.ProjectTest","Surefire test","com.example.teamcity.api.ProjectTest","userCreatesProjectWithInvalidNameTest"
"","437","User should treat SQL Injection payload as plain text ","Surefire suite","2026-08-17","passed","2026-08-17","com.example.teamcity.api.ProjectTest","Surefire test","com.example.teamcity.api.ProjectTest","userCreatesProjectWithSqlInjectionPayloadInNameTest"
"","581","User should not be able to create two build types with the same id","Surefire suite","2026-08-17","passed","2026-08-17","com.example.teamcity.api.BuildTypeTest","Surefire test","com.example.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest"
"","344","User should not be able to create project with invalid user password","Surefire suite","2026-08-17","passed","2026-08-17","com.example.teamcity.api.ProjectTest","Surefire test","com.example.teamcity.api.ProjectTest","userCreatesProjectWithInvalidPasswordTest"
"","210","User should not be able to create project with empty request body","Surefire suite","2026-08-17","passed","2026-08-17","com.example.teamcity.api.ProjectTest","Surefire test","com.example.teamcity.api.ProjectTest","userCreatesProjectWithEmptyRequestBodyTest"
"","200","User should not be able to create project with invalid name","Surefire suite","2026-08-17","passed","2026-08-17","com.example.teamcity.api.ProjectTest","Surefire test","com.example.teamcity.api.ProjectTest","userCreatesProjectWithInvalidNameTest"
"","52862","setupTeamCityServerTest","Surefire suite","2026-08-17","passed","2026-08-17","com.example.teamcity.ui.SetupServerTest","Surefire test","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest"
"","5","Project admin should be able to create build type for their project","Surefire suite","2026-08-17","passed","2026-08-17","com.example.teamcity.api.BuildTypeTest","Surefire test","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest"
"","12","Project admin should not be able to create build type for not their project","Surefire suite","2026-08-17","passed","2026-08-17","com.example.teamcity.api.BuildTypeTest","Surefire test","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest"
"","299","User should be able to get project details by project name","Surefire suite","2026-08-17","passed","2026-08-17","com.example.teamcity.api.ProjectTest","Surefire test","com.example.teamcity.api.ProjectTest","userGetsProjectDetailsByProjectNameTest"
"","352","User should not be able to create two projects with the same id","Surefire suite","2026-08-17","passed","2026-08-17","com.example.teamcity.api.ProjectTest","Surefire test","com.example.teamcity.api.ProjectTest","userCreatesTwoProjectsWithTheSameIdTest"
